Wed Nov 07 11:50:38 +0000 2018,$BTG: B2Gold reports misses by $0.03; revs in-line https://t.co/ZtaXCSs9RA,2
Wed Nov 07 11:46:59 +0000 2018,$BTG: B2Gold reports misses by $0.03; revs in-line https://t.co/ZtaXCSs9RA,2
Wed Nov 07 11:45:38 +0000 2018,$BTG: B2Gold reports misses by $0.03; revs in-line https://t.co/ZtaXCSs9RA,2
